Layer_i,Layer_j,AUC,Diff_P_N,AUC_abs
14,32,0.714312,0.055992222726345076,0.21431199999999995
15,32,0.711741,0.05577888238430018,0.21174099999999996
29,32,0.710474,0.06334697985649107,0.21047400000000005
5,32,0.7068400000000001,0.04575170385837557,0.20684000000000013
7,32,0.706536,0.043631813943386,0.20653600000000005
16,32,0.7041545,0.053078937828540784,0.20415450000000002
17,32,0.703746,0.05275159698724741,0.20374599999999998
10,32,0.7037329999999999,0.05094595366716381,0.20373299999999994
10,31,0.7035469999999999,0.04988009512424463,0.20354699999999992
6,32,0.703278,0.0438536271452904,0.20327799999999996
4,32,0.703201,0.04680019193887708,0.20320099999999996
1,31,0.7025659999999999,0.04975445073842999,0.2025659999999999
12,32,0.7025279999999999,0.0530364665985108,0.20252799999999993
14,31,0.7022079999999999,0.052354583203792604,0.20220799999999994
10,30,0.701421,0.04963158094882969,0.20142099999999996
9,32,0.700999,0.045586113870143885,0.20099900000000004
8,32,0.7006429999999999,0.043354796707630094,0.2006429999999999
15,30,0.700509,0.04940399193763734,0.20050900000000005
15,31,0.6996550000000001,0.05166047817468644,0.19965500000000014
18,32,0.699107,0.05086967349052429,0.19910700000000003
1,30,0.699023,0.04789896923303605,0.19902299999999995
14,30,0.698383,0.04914824092388154,0.19838299999999998
12,30,0.6982719999999999,0.049236019670963305,0.1982719999999999
1,32,0.6981025,0.050745018303394285,0.19810249999999996
5,31,0.697457,0.04444040787220005,0.197457
7,31,0.697334,0.04266989558935175,0.197334
4,31,0.696919,0.04567725300788883,0.19691899999999996
12,31,0.696855,0.05084844601154337,0.196855
29,33,0.6967590000000001,0.06316588848829269,0.19675900000000013
11,32,0.6959305,0.05052065593004229,0.1959305
2,31,0.695553,0.04825984448194509,0.19555299999999998
3,32,0.6947870000000002,0.04680077928304671,0.19478700000000015
5,30,0.6931054999999999,0.043441120862960814,0.19310549999999993
2,30,0.6930670000000001,0.046338598608970605,0.1930670000000001
17,30,0.692909,0.045682568132877355,0.192909
11,31,0.6924480000000001,0.04827532309293747,0.19244800000000006
11,30,0.6923265000000001,0.04782699000835411,0.19232650000000007
6,31,0.692211,0.042544607818126745,0.19221100000000002
7,30,0.6921694999999999,0.04218179595470428,0.19216949999999988
4,30,0.6920315,0.04396603709459301,0.19203150000000002
16,30,0.6915850000000001,0.0467237683534622,0.19158500000000012
8,31,0.691239,0.04168267911672596,0.19123900000000005
16,31,0.691099,0.0487207082509995,0.19109900000000002
3,31,0.6909799999999999,0.04565347534418107,0.19097999999999993
9,31,0.6904995,0.04310109907388693,0.19049950000000004
2,32,0.690272,0.04821833854913715,0.190272
13,32,0.690045,0.0499096577763557,0.19004500000000002
18,30,0.6891959999999999,0.043930369555950144,0.18919599999999992
17,31,0.6886639999999999,0.04758276176452636,0.18866399999999994
8,30,0.688525,0.04159566742181775,0.18852500000000005
9,30,0.6874184999999999,0.04214325487613679,0.18741849999999993
6,30,0.687381,0.04184798729419703,0.18738100000000002
3,30,0.686928,0.04416126865148551,0.18692799999999998
31,32,0.6869025,0.04008536100387575,0.18690249999999997
19,32,0.6845559999999999,0.04798800039291373,0.18455599999999994
18,31,0.683563,0.04543860936164856,0.18356300000000003
20,32,0.6831575,0.04788142317533495,0.18315749999999997
13,31,0.6821219999999999,0.04658378922939299,0.1821219999999999
31,33,0.6806575,0.04752822238206861,0.18065750000000003
21,32,0.679622,0.04687085962295534,0.17962199999999995
25,32,0.6777090000000001,0.049345598578453,0.17770900000000012
13,30,0.6775589999999999,0.043633710801601444,0.1775589999999999
10,29,0.6759,0.04355275791883473,0.17589999999999995
28,32,0.6753,0.05173297262191773,0.1753
15,29,0.674015,0.04213334524631501,0.17401500000000003
23,32,0.673789,0.04623779672384254,0.17378899999999997
7,29,0.6737264999999999,0.03778660523891453,0.1737264999999999
24,32,0.673364,0.04713186830282201,0.17336399999999996
26,32,0.6726230000000001,0.0479672968983651,0.17262300000000008
8,29,0.672506,0.03756012296676636,0.17250600000000005
5,29,0.6717740000000001,0.038450850009918214,0.1717740000000001
14,29,0.6716214999999999,0.0416668142080307,0.17162149999999987
1,29,0.671206,0.040018337607383714,0.17120599999999997
4,29,0.671081,0.03879794329404829,0.17108100000000004
28,33,0.670809,0.0527880024313927,0.170809
11,29,0.6707749999999999,0.04081619709730144,0.1707749999999999
12,29,0.670389,0.041896955132484426,0.170389
19,30,0.669729,0.039239111065864585,0.16972900000000002
6,29,0.6695519999999999,0.03751142501831062,0.16955199999999992
10,28,0.66949,0.041987690865993466,0.16949000000000003
2,29,0.668728,0.03944558054208758,0.168728
7,33,0.668562,0.03457219612598417,0.168562
22,32,0.66852,0.04374732393026359,0.16852
11,28,0.6683115,0.040062983334064495,0.16831149999999995
5,28,0.667871,0.03724494689702995,0.167871
20,30,0.667447,0.039118269920349114,0.167447
7,28,0.6673909999999998,0.036495671629905746,0.16739099999999985
3,29,0.6673469999999999,0.03902898943424227,0.1673469999999999
1,28,0.667312,0.03845343840122217,0.16731200000000002
17,29,0.6670389999999999,0.038832735359668746,0.16703899999999994
4,28,0.666537,0.037347018361091555,0.16653700000000005
8,28,0.666357,0.036488183617591874,0.16635699999999998
30,32,0.6659609999999999,0.04321966886520384,0.16596099999999991
12,28,0.665586,0.04051183199882502,0.165586
19,31,0.665402,0.04106510096788407,0.16540200000000005
18,29,0.6653315,0.03766985291242603,0.16533149999999996
2,28,0.665106,0.037870730936527264,0.16510599999999998
16,29,0.664592,0.03951102572679521,0.16459199999999996
6,28,0.6645155,0.03617473608255384,0.16451550000000004
5,33,0.6642575,0.03565909653902055,0.16425749999999995
9,29,0.6638470000000001,0.036872896611690575,0.16384700000000008
14,33,0.663371,0.042745104014873525,0.16337100000000004
6,33,0.663348,0.03442721849679942,0.16334800000000005
3,28,0.663149,0.03776959782838818,0.163149
15,28,0.663015,0.03816048753261564,0.16301500000000002
30,33,0.662912,0.046446431338787064,0.16291199999999995
20,31,0.662777,0.04093237471580502,0.16277699999999995
26,33,0.6622569999999999,0.04756036972999578,0.16225699999999987
9,33,0.662189,0.03586950331926342,0.16218900000000003
15,33,0.6621370000000001,0.04339729148149485,0.1621370000000001
8,33,0.661032,0.03407805949449538,0.16103199999999995
25,33,0.6605300000000001,0.046922037601470956,0.16053000000000006
17,33,0.6597185,0.04220381051301958,0.15971849999999999
14,28,0.6593410000000002,0.03780244725942611,0.15934100000000018
9,28,0.658032,0.035441389858722694,0.15803199999999995
18,33,0.657747,0.041514744043350205,0.15774699999999997
21,30,0.6575570000000001,0.0369836363196373,0.15755700000000006
10,27,0.657224,0.03649390697479249,0.15722400000000003
17,28,0.657213,0.03478321701288223,0.15721300000000005
16,33,0.656537,0.04190904814004903,0.15653700000000004
24,33,0.6562269999999999,0.04325731176137926,0.1562269999999999
4,33,0.656069,0.035219576478004444,0.156069
21,33,0.6559250000000001,0.04170108926296234,0.1559250000000001
18,28,0.655524,0.033791160225868255,0.155524
8,27,0.6550530000000001,0.03247491639852518,0.1550530000000001
27,32,0.654821,0.04373309159278865,0.154821
5,27,0.654646,0.032456564009189615,0.15464599999999995
7,27,0.6544975,0.031938373088836736,0.15449749999999995
16,28,0.6537339999999999,0.03534150421619414,0.15373399999999993
11,27,0.653569,0.03311652034521101,0.15356899999999996
4,27,0.653397,0.03235653322935106,0.153397
6,27,0.6529959999999999,0.03178733366727826,0.1529959999999999
11,33,0.652818,0.03896645289659506,0.152818
21,31,0.6526025,0.03875721102952956,0.15260249999999997
23,33,0.6524289999999999,0.041164196312427515,0.15242899999999993
27,33,0.6515785000000001,0.044683551907539365,0.15157850000000006
25,30,0.651089,0.03443572342395784,0.15108900000000003
10,33,0.6510479999999998,0.03720990562438964,0.15104799999999985
12,27,0.6504675000000001,0.03361362659931183,0.1504675000000001
20,33,0.6501709999999999,0.04024490630626687,0.15017099999999994
12,33,0.650096,0.03902369892597202,0.150096
19,33,0.649891,0.04013625073432925,0.149891
3,27,0.649565,0.0324088310003281,0.14956499999999995
22,33,0.649044,0.03957311666011809,0.14904399999999995
19,29,0.6481454999999999,0.03303295952081681,0.14814549999999993
23,30,0.648077,0.034423626184463485,0.14807700000000001
2,27,0.6477375,0.03144753336906425,0.14773749999999997
25,31,0.647554,0.03948892879486088,0.14755399999999996
24,30,0.6475014999999998,0.03409707576036458,0.14750149999999984
13,29,0.6473669999999999,0.03581802129745487,0.14736699999999991
20,29,0.6462114999999999,0.032816185832023614,0.14621149999999994
13,28,0.645815,0.03431098914146419,0.14581500000000003
1,27,0.645414,0.031013761937618234,0.14541400000000004
22,30,0.645322,0.033233417570591006,0.14532199999999995
29,31,0.6452770000000001,0.026971090197563163,0.1452770000000001
9,27,0.6451359999999999,0.030750955820083692,0.14513599999999993
1,33,0.6448849999999999,0.03751538461446757,0.14488499999999993
13,33,0.6447014999999999,0.03791616314649582,0.14470149999999993
5,26,0.6441600000000001,0.029294551014900194,0.14416000000000007
4,26,0.643851,0.02928735005855565,0.14385099999999995
23,31,0.6435970000000002,0.03714530760049822,0.1435970000000002
8,26,0.643294,0.02949554198980331,0.14329400000000003
10,26,0.6431880000000001,0.03253727370500564,0.1431880000000001
6,26,0.643154,0.028691669225692662,0.143154
7,26,0.642898,0.028685897767543822,0.14289799999999997
11,26,0.6426430000000001,0.029989555001258827,0.14264300000000008
19,28,0.641952,0.029780486524105088,0.14195199999999997
24,31,0.641855,0.03764774656295772,0.14185499999999995
20,28,0.641671,0.02935770636796947,0.141671
26,30,0.6402420000000001,0.02961646032333376,0.1402420000000001
3,26,0.6401929999999999,0.029416863977909102,0.1401929999999999
14,27,0.6396700000000001,0.03018014246225359,0.13967000000000007
22,31,0.639216,0.035315910279750784,0.139216
3,33,0.638915,0.03324928742647171,0.138915
8,24,0.6388364999999999,0.02895352119207384,0.13883649999999992
15,27,0.638713,0.030169617533683746,0.13871299999999998
2,26,0.6385645,0.028259063005447393,0.13856449999999998
5,24,0.638556,0.028292292416095766,0.138556
21,29,0.6378440000000001,0.03074231016635892,0.13784400000000008
11,24,0.6378320000000001,0.027792259812355058,0.13783200000000007
10,24,0.6378090000000001,0.0307315829992294,0.13780900000000007
6,24,0.6377085,0.028105728864669777,0.1377085
4,24,0.6374415,0.028135719478130428,0.1374415
7,24,0.63665,0.028198547959327636,0.13665000000000005
21,28,0.63608,0.027170601725578336,0.13607999999999998
26,31,0.63605,0.03539774292707443,0.13605
4,23,0.6358435,0.02732040435075761,0.1358435
8,23,0.635222,0.027785874664783494,0.13522199999999995
1,26,0.635162,0.02798606705665596,0.135162
12,26,0.6350549999999999,0.029609500348567963,0.13505499999999993
5,23,0.634759,0.027048367559909803,0.13475899999999996
6,23,0.6343890000000001,0.026773442089557564,0.1343890000000001
9,26,0.634354,0.02757249605655676,0.13435399999999997
8,20,0.634026,0.02620375794172286,0.13402599999999998
4,22,0.63398,0.026750695586204576,0.13398
10,20,0.6338375,0.02795606464147571,0.13383750000000005
8,22,0.6336909999999999,0.027143325507640814,0.1336909999999999
18,27,0.6333185,0.026786483705043773,0.1333185
7,23,0.6333135,0.026999302268028325,0.13331349999999997
4,25,0.6331275,0.02680767816305163,0.13312749999999995
11,23,0.6331249999999999,0.026030345737934113,0.13312499999999994
17,27,0.63297,0.027167306840419736,0.13297000000000003
5,25,0.6329469999999999,0.02671082383394241,0.13294699999999993
2,24,0.63293,0.027044349968433412,0.13293
6,20,0.6328539999999999,0.025475415527820566,0.13285399999999992
4,20,0.632787,0.02560210055112838,0.132787
11,20,0.632757,0.023482958614826244,0.13275700000000001
3,24,0.632736,0.027772582054138184,0.13273599999999997
2,33,0.632706,0.03394615072011942,0.132706
10,23,0.6326979999999999,0.028953349292278274,0.13269799999999987
5,20,0.63256,0.025778655767440817,0.13256
9,24,0.6321000000000001,0.027199286341667184,0.1321000000000001
8,21,0.632095,0.02641221898794177,0.13209499999999996
6,25,0.631978,0.026109496116638264,0.13197800000000004
5,22,0.631952,0.02652319109439849,0.13195199999999996
10,21,0.6319515,0.02805266088247299,0.1319515
4,21,0.6318729999999999,0.02624851232767106,0.1318729999999999
2,23,0.63134,0.02665843701362608,0.13134
8,25,0.631247,0.02661737126111985,0.131247
16,27,0.6312185,0.02772804051637645,0.13121850000000002
11,22,0.631146,0.024647211134433744,0.13114599999999998
6,22,0.6311335,0.026173670113086744,0.13113350000000001
15,26,0.631067,0.027270293176174132,0.13106700000000004
10,22,0.631043,0.028243374943733246,0.13104300000000002
11,21,0.6308600000000001,0.024272305071353917,0.1308600000000001
2,21,0.630809,0.026077831149101283,0.13080899999999995
7,20,0.63068,0.025282351493835453,0.13068000000000002
5,21,0.630663,0.026023888587951682,0.13066299999999997
3,23,0.6305774999999999,0.026860310435295076,0.1305774999999999
6,21,0.6304029999999999,0.025673644840717325,0.13040299999999994
7,22,0.630305,0.026325119733810465,0.130305
2,20,0.630223,0.025154902637004872,0.13022299999999998
7,25,0.6300969999999999,0.026018183767795522,0.1300969999999999
1,23,0.629483,0.026792414307594326,0.12948300000000001
1,24,0.6294795,0.02686676275730132,0.12947949999999997
13,27,0.629366,0.02705686026811599,0.12936599999999998
11,25,0.6293529999999999,0.025426357924938192,0.12935299999999994
10,25,0.629342,0.028267011702060696,0.12934199999999996
3,20,0.629254,0.025379623174667354,0.12925399999999998
2,22,0.6292200000000001,0.025832002818584443,0.1292200000000001
3,25,0.628891,0.026678256034850967,0.12889099999999998
3,22,0.6288830000000001,0.026277937948703756,0.12888300000000008
7,21,0.628705,0.025499994874000564,0.12870499999999996
1,21,0.6284810000000001,0.02614567333459855,0.12848100000000007
3,21,0.628361,0.02618133831024172,0.12836099999999995
9,23,0.6277220000000001,0.02578830420970918,0.1277220000000001
9,22,0.627536,0.025367831885814707,0.12753599999999998
9,20,0.6275195,0.02420989292860032,0.1275195
1,20,0.6270355000000001,0.02511830031871798,0.12703550000000008
1,22,0.626664,0.025699622035026515,0.126664
2,25,0.6266039999999999,0.02546828091144565,0.12660399999999994
17,26,0.6257689999999999,0.023750518918037422,0.1257689999999999
14,26,0.625457,0.025872412383556365,0.12545700000000004
1,25,0.625111,0.025403587341308598,0.12511099999999997
9,21,0.6247725,0.024323073387145955,0.12477249999999995
12,24,0.6244185,0.026442409634590103,0.12441849999999999
24,28,0.624383,0.021401653230190276,0.12438300000000002
18,26,0.624148,0.022915133357048006,0.12414800000000004
23,29,0.623887,0.027180543065071117,0.12388699999999997
9,25,0.6231340000000001,0.02456569910049433,0.12313400000000008
22,28,0.6227155,0.02321387082338333,0.12271549999999998
16,26,0.6223329999999999,0.02453178352117541,0.12233299999999991
19,27,0.6218075,0.023528100073337554,0.12180749999999996
22,29,0.621621,0.026616676211357104,0.12162099999999998
23,28,0.621594,0.02258573746681214,0.12159399999999998
